order_id,date,customer_id,category,region,product,quantity,unit_price,revenue,status
ORD-10001,2025-01-01,CUST-5055,Beauty,North America,Lip Balm,2,60.51,121.02,completed
ORD-10002,2025-01-01,CUST-5033,Apparel,Europe,Running Shoes,2,29.61,59.22,completed
ORD-10003,2025-01-02,CUST-5044,Electronics,Asia Pacific,USB-C Hub,4,150.28,601.12,completed
ORD-10004,2025-01-02,CUST-5124,Electronics,Asia Pacific,Bluetooth Speaker,3,124.92,374.76,completed
ORD-10005,2025-01-03,CUST-5129,Beauty,Latin America,Face Serum,1,61.48,61.48,completed
ORD-10006,2025-01-03,CUST-5060,Electronics,North America,USB-C Hub,4,106.53,426.12,completed
ORD-10007,2025-01-04,CUST-5125,Sports,Europe,Water Bottle,3,69.52,208.56,completed
ORD-10008,2025-01-04,CUST-5074,Sports,North America,Resistance Bands,4,85.94,343.76,completed
ORD-10009,2025-01-05,CUST-5132,Apparel,Europe,Yoga Pants,2,60.37,120.74,completed
ORD-10010,2025-01-06,CUST-5005,Beauty,Europe,Lip Balm,1,27.15,27.15,completed
ORD-10011,2025-01-06,CUST-5071,Beauty,Latin America,Face Serum,1,35.01,35.01,completed
ORD-10012,2025-01-07,CUST-5030,Apparel,Europe,Cotton Tee,3,54.28,162.84,completed
ORD-10013,2025-01-07,CUST-5079,Electronics,North America,Wireless Headphones,3,125.69,377.07,cancelled
ORD-10014,2025-01-08,CUST-5088,Home & Garden,Latin America,Plant Pot,1,34.59,34.59,cancelled
ORD-10015,2025-01-09,CUST-5153,Sports,North America,Yoga Mat,3,96.60,289.80,cancelled
ORD-10016,2025-01-09,CUST-5003,Apparel,Asia Pacific,Winter Coat,2,81.33,162.66,completed
ORD-10017,2025-01-10,CUST-5102,Sports,Asia Pacific,Resistance Bands,3,19.77,59.31,completed
ORD-10018,2025-01-11,CUST-5090,Sports,Europe,Resistance Bands,2,48.19,96.38,completed
ORD-10019,2025-01-11,CUST-5090,Home & Garden,Europe,Plant Pot,1,86.03,86.03,completed
ORD-10020,2025-01-12,CUST-5144,Electronics,North America,Smart Watch,3,100.82,302.46,completed
